TubeID,Date,Month,MonthNo,Season,Time,Monkey,Birthday,Age,AgeD,AgeY,Sex,Rank,Group,GroupSize,MCPDensity,KDE50Density,KDE95Density,Matriline,Kin,FemaleKin,KDE50,KDE95,MCP_HR,MCP_DRY,MCP_RAINY,MCP_RAINY1,MCP_RAINY2,NDVI_RAINY2,NDVI_RAINY1,NDVI_RAINY,NDVI_DRY,NDVI,MINT_2,MINT_1,MINT,AVET_2,AVET_1,AVET,MAXT_2,MAXT_1,MAXT,RAIN_2,RAIN_1,RAIN,TreeArea,BuildArea,RangeArea,AnalysisEnd,Observer,TotalMl,FecesWeight,Diversity,M1_Fila,M2_Stegg,M3_Hdimi,M4_Prosth,M5_Subu,M6_Spiru,M7_Eim,M8_StAM,M9_StLVR,M10_StLVF,TotalP,PPG,FilaPA,SteggPA,HdimiPA,ProsthPA,SubuPA,SpiruPA,EimPA,StamPA,StlvrPA,StlvFPA,FilaPFG,SteggPFG,HdimiPFG,StamPFG,StlvrPFG,StlvrPFG
PA-135,5-Oct-20,Oct,3,RAINY,9:28,Abu,4/25/05,AF,6111,16.74246575,Female,3,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.889842666,0.009383832,0.100944747,1/17/22,JC,7.4,1.2,3,130,1,0,0,0,0,1,0,0,0,132,110,1,1,0,0,0,0,1,0,0,0,108,1,0,0,0,0
PA-455,16-Feb-21,Feb,7,DRY,8:10,Abu,4/25/05,AF,6829,18.70958904,Female,3,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,22.79,22.97,23.14,25.09,25.61,27.07,27.39,28.24,31,29,10.8,10.8,0.889842666,0.009383832,0.100944747,1/5/24,MCH,7,1.45,2,1628,11,0,0,0,0,0,0,0,0,1639,1130,1,1,0,0,0,0,0,0,0,0,1123,8,0,0,0,0
PA-748,26-Aug-21,2-Aug,13,RAINY,8:30,Abu,4/25/05,AF,6374,17.4630137,Female,3,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,10/7/22,JKH,7,1.72,3,6,1,0,0,0,0,0,0,1,0,8,5,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1,0
PA-038,18-Aug-20,Aug,1,RAINY,8:21,AF,,AF,,,Female,,AD,22,11.38186734,42.71048504,13.88406803,,,,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.889842666,0.009383832,0.100944747,8/4/21,MCH,3.9,1.92,5,81,1,0,0,0,0,0,74,4,87,247,129,1,1,0,0,0,0,0,1,1,1,42,1,0,39,2,45
PA-124,29-Sep-20,Sep,2,RAINY,6:50,AF,,AF,,,Female,,LV,30,12.81671162,35.0544688,15.39024269,,,,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.976790217,0.007748984,0.01576071,8/3/21,HH/MCH,7,3.01,2,29,2,0,0,0,0,0,0,0,0,31,10,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0
PA-147,14-Oct-20,Oct,3,RAINY,7:12,AF,,AF,,,Female,,LV,30,12.81671162,35.0544688,15.39024269,,,,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.976790217,0.007748984,0.01576071,8/16/21,HH,6,0.51,5,7,2,0,0,0,0,0,2,1,5,17,33,1,1,0,0,0,0,0,1,1,1,14,4,0,4,2,10
PA-071,31-Aug-20,Aug,1,RAINY,11:00,AM,,AM,,,Male,,GN,23,16.07948579,34.67887363,16.64771481,,,,0.663228,1.381571,1.430394,0.855759,1.328901,1.142284,0.739244,0.685529798,0.733495332,0.709512565,0.800760354,0.750617982,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.968751267,0,0.030949515,7/22/21,MCH,3.5,1.18,3,5,1,0,0,0,0,0,0,0,1,7,6,1,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1
PA-125,29-Sep-20,Sep,2,RAINY,7:29,AM,,AM,,,Male,,LV,30,12.81671162,35.0544688,15.39024269,,,,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.976790217,0.007748984,0.01576071,8/9/21,HH,6,1.2,3,30,2,0,0,0,0,0,0,0,6,38,32,1,1,0,0,0,0,0,0,0,1,25,2,0,0,0,5
PA-044,18-Aug-20,Aug,1,RAINY,10:58,Amidala,6/2/16,LJF,2218,6.076712329,Female,,AD,22,11.38186734,42.71048504,13.88406803,Seri,7,6,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.889842666,0.009383832,0.100944747,6/29/22,JC,3,1.44,4,21,2,0,0,0,0,0,43,0,99,165,115,1,1,0,0,0,0,0,1,0,1,15,1,0,30,0,69
PA-097,16-Sep-20,Sep,2,RAINY,11:30,Amidala,6/2/16,LJF,2134,5.846575342,Female,,AD,22,11.38186734,42.71048504,13.88406803,Seri,7,6,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.889842666,0.009383832,0.100944747,4/6/22,HH,6.5,2.11,4,6,7,0,0,0,0,0,0,12,1,26,12,1,1,0,0,0,0,0,0,1,1,3,3,0,0,6,0
